Date,HomeTeam,AwayTeam,B365H,B365D,B365A,B365>2.5,B365<2.5,FTHG,FTAG
21/08/2026,Arsenal,Coventry,1.2,7.0,13.0,1.57,2.38,3.0,0.0
22/08/2026,Hull,Man United,8.5,5.0,1.36,1.67,2.2,2.0,0.0
22/08/2026,Everton,Crystal Palace,2.15,3.5,3.3,1.95,1.9,2.0,0.0
22/08/2026,Ipswich,Sunderland,2.7,3.3,2.63,1.98,1.88,2.0,1.0
22/08/2026,Nott'm Forest,Leeds,2.3,3.4,3.1,1.98,1.88,0.0,1.0
22/08/2026,Brentford,Tottenham,2.4,3.7,2.75,1.67,2.2,3.0,0.0
23/08/2026,Brighton,Aston Villa,2.15,3.6,3.0,1.73,2.1,4.0,0.0
23/08/2026,Man City,Bournemouth,1.48,4.5,6.25,1.44,2.75,2.0,1.0
23/08/2026,Newcastle,Liverpool,4.0,3.8,1.9,1.5,2.63,2.0,2.0
24/08/2026,Fulham,Chelsea,3.6,3.8,1.9,1.67,2.2,2.0,3.0
28/08/2026,Crystal Palace,Man City,5.0,3.9,1.67,1.73,2.1,1.0,4.0
29/08/2026,Liverpool,Nott'm Forest,1.5,4.5,5.75,1.62,2.3,2.0,2.0
29/08/2026,Bournemouth,Everton,2.05,3.5,3.6,1.91,1.91,1.0,1.0
29/08/2026,Coventry,Hull,1.9,3.5,4.2,1.91,1.91,0.0,1.0
29/08/2026,Tottenham,Newcastle,2.25,3.75,2.9,1.62,2.3,0.0,2.0
30/08/2026,Chelsea,Brighton,1.83,4.0,4.0,1.62,2.3,4.0,3.0
30/08/2026,Leeds,Brentford,2.6,3.3,2.7,1.9,1.95,1.0,1.0
30/08/2026,Sunderland,Fulham,2.4,3.2,3.1,2.0,1.8,1.0,0.0
30/08/2026,Man United,Ipswich,1.42,5.0,7.0,1.57,2.38,5.0,2.0
31/08/2026,Aston Villa,Arsenal,6.0,4.1,1.53,1.83,2.03,0.0,1.0
