Date,HomeTeam,AwayTeam,B365H,B365D,B365A,B365>2.5,B365<2.5,FTHG,FTAG
13/08/2021,Brentford,Arsenal,4.02,3.43,2.02,2.16,1.73,2.0,0.0
14/08/2021,Man United,Leeds,1.55,4.48,5.87,1.65,2.29,5.0,1.0
14/08/2021,Burnley,Brighton,3.19,3.09,2.49,2.46,1.57,1.0,2.0
14/08/2021,Chelsea,Crystal Palace,1.26,5.92,12.8,1.79,2.06,3.0,0.0
14/08/2021,Everton,Southampton,1.97,3.53,4.04,2.07,1.79,3.0,1.0
14/08/2021,Leicester,Wolves,1.71,3.75,5.32,2.04,1.81,1.0,0.0
14/08/2021,Watford,Aston Villa,3.14,3.26,2.41,2.03,1.82,3.0,2.0
14/08/2021,Norwich,Liverpool,8.78,5.71,1.33,1.52,2.59,0.0,3.0
15/08/2021,Newcastle,West Ham,3.2,3.51,2.26,1.95,1.9,2.0,4.0
15/08/2021,Tottenham,Man City,5.49,4.1,1.64,1.85,2.01,1.0,0.0
21/08/2021,Brighton,Watford,1.74,3.52,5.53,2.24,1.67,2.0,0.0
21/08/2021,Man City,Norwich,1.11,10.58,25.64,1.34,3.29,5.0,0.0
21/08/2021,Leeds,Everton,2.37,3.47,3.03,1.7,2.2,2.0,2.0
21/08/2021,Aston Villa,Newcastle,1.82,3.92,4.25,1.77,2.09,2.0,0.0
21/08/2021,Liverpool,Burnley,1.21,6.97,14.41,1.54,2.5,2.0,0.0
21/08/2021,Crystal Palace,Brentford,2.61,3.18,2.9,2.32,1.62,0.0,0.0
22/08/2021,Southampton,Man United,5.36,4.26,1.61,1.72,2.16,1.0,1.0
22/08/2021,Wolves,Tottenham,3.2,3.15,2.43,2.24,1.67,0.0,1.0
22/08/2021,Arsenal,Chelsea,4.76,3.74,1.78,2.07,1.79,0.0,2.0
23/08/2021,West Ham,Leicester,2.58,3.44,2.75,1.8,2.04,4.0,1.0
28/08/2021,West Ham,Crystal Palace,1.58,4.02,6.29,1.89,1.96,2.0,2.0
28/08/2021,Liverpool,Chelsea,2.5,3.33,2.95,2.02,1.83,1.0,1.0
