Date,HomeTeam,AwayTeam,B365H,B365D,B365A,B365>2.5,B365<2.5,FTHG,FTAG
16/08/2024,Man United,Fulham,1.62,4.36,5.15,1.53,2.52,1.0,0.0
17/08/2024,Ipswich,Liverpool,8.28,5.76,1.34,1.41,2.94,0.0,2.0
17/08/2024,Arsenal,Wolves,1.18,7.86,15.87,1.46,2.7,2.0,0.0
17/08/2024,Everton,Brighton,2.67,3.41,2.68,1.81,2.04,0.0,3.0
17/08/2024,Newcastle,Southampton,1.35,5.62,8.1,1.4,3.01,1.0,0.0
17/08/2024,Nottm Forest,Bournemouth,2.45,3.49,2.89,1.77,2.08,1.0,1.0
17/08/2024,West Ham,Aston Villa,2.44,3.69,2.79,1.57,2.43,1.0,2.0
18/08/2024,Brentford,Crystal Palace,2.46,3.44,2.9,1.81,2.03,2.0,1.0
18/08/2024,Chelsea,Man City,4.05,4.0,1.83,1.5,2.59,0.0,2.0
19/08/2024,Leicester,Tottenham,5.01,4.37,1.63,1.52,2.54,1.0,1.0
24/08/2024,Aston Villa,Arsenal,4.41,3.92,1.78,1.73,2.13,0.0,2.0
24/08/2024,Tottenham,Everton,1.44,4.95,6.75,1.51,2.55,4.0,0.0
24/08/2024,Southampton,Nottm Forest,2.57,3.32,2.84,1.97,1.87,0.0,1.0
24/08/2024,Crystal Palace,West Ham,2.17,3.63,3.25,1.76,2.1,0.0,2.0
24/08/2024,Fulham,Leicester,1.83,3.73,4.38,1.87,1.97,2.0,1.0
24/08/2024,Brighton,Man United,2.5,3.72,2.69,1.58,2.42,2.0,1.0
24/08/2024,Man City,Ipswich,1.09,12.17,26.97,1.29,3.54,4.0,1.0
25/08/2024,Bournemouth,Newcastle,2.99,3.8,2.25,1.56,2.44,1.0,1.0
25/08/2024,Wolves,Chelsea,4.37,4.0,1.77,1.64,2.29,2.0,6.0
25/08/2024,Liverpool,Brentford,1.25,6.78,10.37,1.35,3.2,2.0,0.0
31/08/2024,Nottm Forest,Wolves,2.03,3.66,3.65,1.83,2.02,1.0,1.0
31/08/2024,West Ham,Man City,7.57,5.49,1.38,1.46,2.73,1.0,3.0
31/08/2024,Leicester,Aston Villa,4.62,4.02,1.74,1.69,2.21,1.0,2.0
31/08/2024,Brentford,Southampton,1.77,3.97,4.46,1.73,2.15,3.0,1.0
31/08/2024,Everton,Bournemouth,2.78,3.4,2.59,1.87,1.95,2.0,3.0
31/08/2024,Arsenal,Brighton,1.35,5.66,8.11,1.53,2.52,1.0,1.0
31/08/2024,Ipswich,Fulham,3.1,3.5,2.31,1.82,2.03,1.0,1.0
01/09/2024,Chelsea,Crystal Palace,1.63,4.4,5.01,1.52,2.56,1.0,1.0
01/09/2024,Newcastle,Tottenham,2.51,3.97,2.56,1.38,3.07,2.0,1.0
01/09/2024,Man United,Liverpool,3.82,4.2,1.85,1.43,2.84,0.0,3.0
14/09/2024,Bournemouth,Chelsea,3.33,3.96,2.05,1.45,2.76,0.0,1.0
14/09/2024,Aston Villa,Everton,1.51,4.48,6.34,1.67,2.23,3.0,2.0
14/09/2024,Man City,Brentford,1.17,8.2,14.79,1.35,3.22,2.0,1.0
14/09/2024,Liverpool,Nottm Forest,1.22,7.03,12.4,1.41,2.91,0.0,1.0
14/09/2024,Fulham,West Ham,2.42,3.48,2.92,1.72,2.16,1.0,1.0
14/09/2024,Brighton,Ipswich,1.38,5.16,7.89,1.56,2.46,0.0,0.0
14/09/2024,Southampton,Man United,4.56,4.04,1.74,1.61,2.36,0.0,3.0
14/09/2024,Crystal Palace,Leicester,1.63,4.14,5.38,1.76,2.1,2.0,2.0
15/09/2024,Tottenham,Arsenal,2.99,3.59,2.33,1.58,2.41,0.0,1.0
15/09/2024,Wolves,Newcastle,3.36,3.69,2.11,1.56,2.47,1.0,2.0
21/09/2024,Southampton,Ipswich,2.25,3.52,3.17,1.77,2.06,1.0,1.0
21/09/2024,Crystal Palace,Man United,2.85,3.72,2.36,1.6,2.39,0.0,0.0
21/09/2024,Liverpool,Bournemouth,1.29,6.31,9.35,1.36,3.12,3.0,0.0
21/09/2024,Tottenham,Brentford,1.55,4.72,5.41,1.42,2.81,3.0,1.0
21/09/2024,Fulham,Newcastle,2.86,3.51,2.45,1.68,2.22,3.0,1.0
21/09/2024,West Ham,Chelsea,3.49,3.89,2.01,1.52,2.54,0.0,3.0
21/09/2024,Leicester,Everton,2.52,3.44,2.82,1.86,1.98,1.0,1.0
21/09/2024,Aston Villa,Wolves,1.59,4.39,5.35,1.58,2.41,3.0,1.0
22/09/2024,Brighton,Nottm Forest,1.86,3.83,4.21,1.83,2.02,2.0,2.0
22/09/2024,Man City,Arsenal,1.83,3.62,4.52,2.02,1.82,2.0,2.0
28/09/2024,Wolves,Liverpool,8.05,5.55,1.35,1.45,2.77,1.0,2.0
28/09/2024,Everton,Crystal Palace,2.73,3.39,2.63,1.87,1.97,2.0,1.0
28/09/2024,Chelsea,Brighton,1.74,4.23,4.35,1.5,2.58,4.0,2.0
28/09/2024,Nottm Forest,Fulham,2.4,3.34,3.07,2.0,1.85,0.0,1.0
28/09/2024,Arsenal,Leicester,1.18,7.82,15.12,1.49,2.55,4.0,2.0
28/09/2024,Newcastle,Man City,5.09,4.47,1.61,1.49,2.64,1.0,1.0
28/09/2024,Brentford,West Ham,2.23,3.62,3.16,1.66,2.27,1.0,1.0
29/09/2024,Man United,Tottenham,2.36,3.89,2.77,1.42,2.87,0.0,3.0
29/09/2024,Ipswich,Aston Villa,4.15,3.77,1.87,1.73,2.14,2.0,2.0
30/09/2024,Bournemouth,Southampton,1.65,4.29,4.91,1.49,2.6,3.0,1.0
05/10/2024,Everton,Newcastle,3.15,3.62,2.23,1.69,2.21,0.0,0.0
05/10/2024,Crystal Palace,Liverpool,6.36,4.65,1.49,1.59,2.4,0.0,1.0
05/10/2024,Arsenal,Southampton,1.14,9.2,18.63,1.36,3.13,3.0,1.0
05/10/2024,Brentford,Wolves,2.09,3.64,3.47,1.78,2.08,5.0,3.0
05/10/2024,Leicester,Bournemouth,3.24,3.66,2.17,1.69,2.21,1.0,0.0
05/10/2024,Man City,Fulham,1.24,6.85,11.11,1.45,2.74,3.0,2.0
05/10/2024,West Ham,Ipswich,1.8,3.96,4.25,1.69,2.21,4.0,1.0
06/10/2024,Brighton,Tottenham,2.9,4.01,2.23,1.39,3.0,3.0,2.0
06/10/2024,Chelsea,Nottm Forest,1.48,4.73,6.32,1.55,2.46,1.0,1.0
06/10/2024,Aston Villa,Man United,2.21,3.82,3.06,1.53,2.52,0.0,0.0
19/10/2024,Tottenham,West Ham,1.5,4.91,5.73,1.37,3.08,4.0,1.0
19/10/2024,Fulham,Aston Villa,2.44,3.5,2.89,1.73,2.14,1.0,3.0
19/10/2024,Ipswich,Everton,2.4,3.42,3.01,1.83,2.01,0.0,2.0
19/10/2024,Man United,Brentford,1.71,4.28,4.48,1.49,2.58,2.0,1.0
19/10/2024,Newcastle,Brighton,2.01,3.88,3.51,1.51,2.56,0.0,1.0
19/10/2024,Southampton,Leicester,2.33,3.54,3.03,1.76,2.08,2.0,3.0
19/10/2024,Bournemouth,Arsenal,4.94,4.09,1.68,1.72,2.15,2.0,0.0
20/10/2024,Wolves,Man City,8.88,5.85,1.31,1.45,2.75,1.0,2.0
20/10/2024,Liverpool,Chelsea,1.63,4.39,4.89,1.4,2.93,2.0,1.0
21/10/2024,Nottm Forest,Crystal Palace,2.36,3.31,3.11,2.14,1.73,1.0,0.0
25/10/2024,Leicester,Nottm Forest,3.09,3.32,2.41,2.06,1.79,1.0,3.0
26/10/2024,Aston Villa,Bournemouth,1.86,3.97,3.97,1.6,2.39,1.0,1.0
26/10/2024,Brentford,Ipswich,1.67,4.27,4.86,1.65,2.28,4.0,3.0
26/10/2024,Brighton,Wolves,1.64,4.32,4.94,1.56,2.43,2.0,2.0
26/10/2024,Man City,Southampton,1.11,10.94,21.04,1.27,3.73,1.0,0.0
26/10/2024,Everton,Fulham,2.76,3.37,2.6,1.89,1.95,1.0,1.0
27/10/2024,Chelsea,Newcastle,1.76,4.26,4.15,1.44,2.78,2.0,1.0
27/10/2024,Crystal Palace,Tottenham,3.97,3.97,1.85,1.59,2.4,1.0,0.0
27/10/2024,West Ham,Man United,2.89,3.71,2.33,1.51,2.53,2.0,1.0
27/10/2024,Arsenal,Liverpool,2.49,3.37,2.89,1.89,1.94,2.0,2.0
02/11/2024,Nottm Forest,West Ham,2.15,3.52,3.43,1.86,1.98,3.0,0.0
02/11/2024,Wolves,Crystal Palace,2.53,3.4,2.85,1.89,1.95,2.0,2.0
02/11/2024,Liverpool,Brighton,1.39,5.4,7.12,1.39,2.99,2.0,1.0
02/11/2024,Southampton,Everton,2.65,3.48,2.66,1.83,2.02,1.0,0.0
02/11/2024,Bournemouth,Man City,5.32,4.44,1.59,1.57,2.42,2.0,1.0
02/11/2024,Newcastle,Arsenal,3.77,3.69,1.98,1.82,2.02,1.0,0.0
02/11/2024,Ipswich,Leicester,2.27,3.61,3.09,1.71,2.18,1.0,1.0
03/11/2024,Tottenham,Aston Villa,1.93,4.07,3.55,1.44,2.78,4.0,1.0
03/11/2024,Man United,Chelsea,2.58,3.78,2.56,1.44,2.79,1.0,1.0
04/11/2024,Fulham,Brentford,2.03,3.73,3.52,1.67,2.23,2.0,1.0
09/11/2024,Brentford,Bournemouth,2.53,3.59,2.72,1.6,2.39,3.0,2.0
09/11/2024,Crystal Palace,Fulham,2.7,3.48,2.61,1.93,1.91,0.0,2.0
09/11/2024,West Ham,Everton,2.18,3.47,3.38,1.81,2.03,0.0,0.0
09/11/2024,Wolves,Southampton,1.96,3.84,3.67,1.66,2.26,2.0,0.0
09/11/2024,Brighton,Man City,4.34,4.17,1.75,1.53,2.5,2.0,1.0
09/11/2024,Liverpool,Aston Villa,1.42,5.26,6.7,1.43,2.83,2.0,0.0
10/11/2024,Chelsea,Arsenal,2.75,3.49,2.53,1.71,2.17,1.0,1.0
10/11/2024,Tottenham,Ipswich,1.26,6.76,9.98,1.3,3.49,1.0,2.0
10/11/2024,Man United,Leicester,1.39,5.35,7.46,1.46,2.72,3.0,0.0
10/11/2024,Nottm Forest,Newcastle,2.69,3.31,2.72,1.94,1.9,1.0,3.0
23/11/2024,Fulham,Wolves,1.65,4.09,5.23,1.68,2.21,1.0,4.0
23/11/2024,Leicester,Chelsea,6.75,4.81,1.46,1.48,2.64,1.0,2.0
23/11/2024,Arsenal,Nottm Forest,1.37,4.97,8.9,1.81,2.03,3.0,0.0
23/11/2024,Aston Villa,Crystal Palace,1.63,4.11,5.45,1.75,2.11,2.0,2.0
23/11/2024,Bournemouth,Brighton,2.41,3.62,2.86,1.57,2.41,1.0,2.0
23/11/2024,Everton,Brentford,2.46,3.41,2.94,1.84,2.01,0.0,0.0
23/11/2024,Man City,Tottenham,1.49,5.01,5.92,1.31,3.46,0.0,4.0
24/11/2024,Ipswich,Man United,5.06,4.22,1.63,1.56,2.44,1.0,1.0
24/11/2024,Southampton,Liverpool,10.4,5.96,1.28,1.44,2.8,2.0,3.0
25/11/2024,Newcastle,West Ham,1.5,4.57,6.21,1.55,2.45,0.0,2.0
