Date,HomeTeam,AwayTeam,B365H,B365D,B365A,B365>2.5,B365<2.5,FTHG,FTAG
29/11/2024,Brighton,Southampton,1.39,5.29,7.57,1.43,2.84,1.0,1.0
30/11/2024,Brentford,Leicester,1.66,4.24,4.87,1.58,2.41,4.0,1.0
30/11/2024,Crystal Palace,Newcastle,3.04,3.56,2.3,1.79,2.08,1.0,1.0
30/11/2024,Nottm Forest,Ipswich,1.75,3.82,4.79,1.89,1.94,1.0,0.0
30/11/2024,Wolves,Bournemouth,2.81,3.61,2.44,1.65,2.27,2.0,4.0
30/11/2024,West Ham,Arsenal,7.09,4.68,1.46,1.7,2.19,2.0,5.0
01/12/2024,Tottenham,Fulham,1.72,4.35,4.24,1.42,2.84,1.0,1.0
01/12/2024,Liverpool,Man City,2.09,3.7,3.37,1.54,2.42,2.0,0.0
01/12/2024,Chelsea,Aston Villa,1.71,4.21,4.51,1.53,2.51,3.0,0.0
01/12/2024,Man United,Everton,1.54,4.33,6.08,1.75,2.11,4.0,0.0
03/12/2024,Ipswich,Crystal Palace,3.09,3.37,2.38,1.98,1.86,0.0,1.0
03/12/2024,Leicester,West Ham,2.9,3.44,2.47,1.79,2.06,3.0,1.0
04/12/2024,Everton,Wolves,2.14,3.46,3.51,1.98,1.86,4.0,0.0
04/12/2024,Man City,Nottm Forest,1.37,5.21,8.25,1.59,2.4,3.0,0.0
04/12/2024,Newcastle,Liverpool,4.27,4.04,1.78,1.59,2.38,3.0,3.0
04/12/2024,Southampton,Chelsea,8.39,5.64,1.34,1.43,2.83,1.0,5.0
04/12/2024,Arsenal,Man United,1.46,4.73,6.92,1.63,2.31,2.0,0.0
04/12/2024,Aston Villa,Brentford,1.8,4.01,4.24,1.57,2.42,3.0,1.0
05/12/2024,Bournemouth,Tottenham,2.65,3.92,2.42,1.41,2.9,1.0,0.0
05/12/2024,Fulham,Brighton,2.33,3.65,2.92,1.62,2.33,3.0,1.0
07/12/2024,Man United,Nottm Forest,1.67,4.05,5.12,1.79,2.05,2.0,3.0
07/12/2024,Crystal Palace,Man City,5.39,4.33,1.6,1.64,2.31,2.0,2.0
07/12/2024,Aston Villa,Southampton,1.37,5.41,7.78,1.44,2.81,1.0,0.0
07/12/2024,Brentford,Newcastle,2.86,3.74,2.36,1.57,2.45,4.0,2.0
08/12/2024,Fulham,Arsenal,5.4,4.24,1.61,1.78,2.06,1.0,1.0
08/12/2024,Ipswich,Bournemouth,3.57,3.73,2.02,1.72,2.16,1.0,2.0
08/12/2024,Leicester,Brighton,4.48,4.02,1.75,1.59,2.39,2.0,2.0
08/12/2024,Tottenham,Chelsea,3.21,4.04,2.07,1.35,3.26,3.0,4.0
09/12/2024,West Ham,Wolves,1.91,3.85,3.81,1.6,2.36,2.0,1.0
14/12/2024,Wolves,Ipswich,1.9,3.83,3.85,1.72,2.15,1.0,2.0
14/12/2024,Newcastle,Leicester,1.31,5.83,9.08,1.45,2.75,4.0,0.0
14/12/2024,Nottm Forest,Aston Villa,2.64,3.39,2.68,1.87,1.96,2.0,1.0
14/12/2024,Arsenal,Everton,1.23,6.33,13.36,1.66,2.23,0.0,0.0
14/12/2024,Liverpool,Fulham,1.32,5.75,8.89,1.47,2.66,2.0,2.0
15/12/2024,Man City,Man United,1.58,4.59,5.04,1.43,2.78,1.0,2.0
15/12/2024,Chelsea,Brentford,1.33,5.89,8.08,1.32,3.32,2.0,1.0
15/12/2024,Southampton,Tottenham,4.29,4.47,1.69,1.3,3.46,0.0,5.0
15/12/2024,Brighton,Crystal Palace,1.89,3.82,3.9,1.72,2.13,1.0,3.0
16/12/2024,Bournemouth,West Ham,1.71,4.19,4.43,1.51,2.54,1.0,1.0
21/12/2024,Aston Villa,Man City,3.29,3.71,2.12,1.59,2.39,2.0,1.0
21/12/2024,Brentford,Nottm Forest,2.35,3.52,2.99,1.72,2.13,0.0,2.0
21/12/2024,Ipswich,Newcastle,4.61,3.95,1.74,1.63,2.3,0.0,4.0
21/12/2024,West Ham,Brighton,2.8,3.75,2.38,1.51,2.56,1.0,1.0
21/12/2024,Crystal Palace,Arsenal,6.08,4.11,1.57,1.83,2.01,1.0,5.0
22/12/2024,Man United,Bournemouth,1.85,3.88,4.07,1.6,2.36,0.0,3.0
22/12/2024,Tottenham,Liverpool,4.29,4.33,1.72,1.29,3.52,3.0,6.0
22/12/2024,Leicester,Wolves,2.55,3.56,2.69,1.66,2.24,0.0,3.0
22/12/2024,Everton,Chelsea,5.18,4.13,1.63,1.66,2.25,0.0,0.0
22/12/2024,Fulham,Southampton,1.42,4.96,7.21,1.54,2.46,0.0,0.0
26/12/2024,Man City,Everton,1.34,5.46,8.59,1.55,2.44,1.0,1.0
26/12/2024,Bournemouth,Crystal Palace,1.9,3.77,3.87,1.72,2.13,0.0,0.0
26/12/2024,Chelsea,Fulham,1.47,4.88,6.15,1.45,2.72,1.0,2.0
26/12/2024,Newcastle,Aston Villa,1.93,3.91,3.66,1.61,2.34,3.0,0.0
26/12/2024,Nott'm Forest,Tottenham,2.35,3.74,2.82,1.48,2.64,1.0,0.0
26/12/2024,Southampton,West Ham,3.24,3.56,2.18,1.66,2.23,0.0,1.0
26/12/2024,Wolves,Man United,3.8,3.7,1.94,1.67,2.22,2.0,0.0
26/12/2024,Liverpool,Leicester,1.08,12.4,25.35,1.19,4.41,3.0,1.0
27/12/2024,Brighton,Brentford,1.64,4.44,4.89,1.44,2.78,0.0,0.0
27/12/2024,Arsenal,Ipswich,1.16,8.37,17.31,1.39,2.99,1.0,0.0
29/12/2024,West Ham,Liverpool,7.04,5.21,1.4,1.39,2.92,0.0,5.0
29/12/2024,Tottenham,Wolves,1.61,4.77,4.56,1.31,3.33,2.0,2.0
29/12/2024,Fulham,Bournemouth,2.35,3.58,2.91,1.67,2.21,2.0,2.0
29/12/2024,Leicester,Man City,7.92,5.62,1.34,1.36,3.07,0.0,2.0
29/12/2024,Crystal Palace,Southampton,1.61,4.11,5.42,1.75,2.09,2.0,1.0
29/12/2024,Everton,Nott'm Forest,2.64,3.16,2.83,2.23,1.66,0.0,2.0
30/12/2024,Aston Villa,Brighton,1.94,3.86,3.61,1.59,2.36,2.0,2.0
30/12/2024,Ipswich,Chelsea,6.87,5.02,1.41,1.43,2.75,2.0,0.0
30/12/2024,Man United,Newcastle,2.7,3.61,2.49,1.63,2.28,0.0,2.0
01/01/2025,Brentford,Arsenal,6.67,4.8,1.44,1.54,2.46,1.0,3.0
04/01/2025,Southampton,Brentford,2.78,3.54,2.48,1.66,2.24,0.0,5.0
04/01/2025,Brighton,Arsenal,4.36,3.83,1.8,1.73,2.12,1.0,1.0
04/01/2025,Man City,West Ham,1.31,6.09,8.3,1.34,3.23,4.0,1.0
04/01/2025,Tottenham,Newcastle,2.88,3.94,2.24,1.32,3.31,1.0,2.0
04/01/2025,Bournemouth,Everton,1.75,3.82,4.71,1.86,1.96,1.0,0.0
04/01/2025,Crystal Palace,Chelsea,3.65,3.88,1.95,1.58,2.39,1.0,1.0
04/01/2025,Aston Villa,Leicester,1.32,5.51,9.16,1.5,2.58,2.0,1.0
05/01/2025,Fulham,Ipswich,1.56,4.34,5.68,1.7,2.15,2.0,2.0
05/01/2025,Liverpool,Man United,1.29,6.05,9.49,1.41,2.86,2.0,2.0
06/01/2025,Wolves,Nott'm Forest,3.22,3.22,2.33,2.04,1.78,0.0,3.0
14/01/2025,Brentford,Man City,4.76,4.47,1.64,1.38,3.04,2.0,2.0
14/01/2025,Chelsea,Bournemouth,1.5,4.81,5.92,1.42,2.87,2.0,2.0
14/01/2025,West Ham,Fulham,2.97,3.43,2.41,1.83,2.01,3.0,2.0
14/01/2025,Nott'm Forest,Liverpool,5.14,4.16,1.64,1.63,2.3,1.0,1.0
15/01/2025,Arsenal,Tottenham,1.4,5.29,6.86,1.43,2.8,2.0,1.0
15/01/2025,Newcastle,Wolves,1.35,5.54,8.08,1.42,2.82,3.0,0.0
15/01/2025,Leicester,Crystal Palace,3.88,3.73,1.92,1.74,2.11,0.0,2.0
15/01/2025,Everton,Aston Villa,3.2,3.24,2.35,2.06,1.78,0.0,1.0
16/01/2025,Ipswich,Brighton,3.8,3.73,1.94,1.71,2.15,0.0,2.0
16/01/2025,Man United,Southampton,1.3,5.79,9.4,1.52,2.52,3.0,1.0
18/01/2025,Newcastle,Bournemouth,1.64,4.3,4.93,1.54,2.47,1.0,4.0
18/01/2025,Brentford,Liverpool,6.43,5.15,1.43,1.35,3.16,0.0,2.0
18/01/2025,Leicester,Fulham,4.17,3.81,1.84,1.71,2.14,0.0,2.0
18/01/2025,West Ham,Crystal Palace,2.62,3.41,2.69,1.79,2.04,0.0,2.0
18/01/2025,Arsenal,Aston Villa,1.51,4.35,6.45,1.82,2.01,2.0,2.0
19/01/2025,Nott'm Forest,Southampton,1.39,4.86,8.03,1.75,2.09,3.0,2.0
19/01/2025,Ipswich,Man City,7.72,5.36,1.36,1.44,2.74,0.0,6.0
19/01/2025,Everton,Tottenham,2.91,3.51,2.41,1.69,2.19,3.0,2.0
19/01/2025,Man United,Brighton,2.09,3.71,3.36,1.66,2.23,1.0,3.0
20/01/2025,Chelsea,Wolves,1.37,5.51,7.3,1.37,3.06,3.0,1.0
25/01/2025,Bournemouth,Nott'm Forest,2.09,3.64,3.42,1.82,2.02,5.0,0.0
25/01/2025,Brighton,Everton,1.67,3.86,5.39,1.9,1.93,0.0,1.0
25/01/2025,Liverpool,Ipswich,1.1,11.04,20.87,1.25,3.82,4.0,1.0
25/01/2025,Southampton,Newcastle,6.82,5.09,1.42,1.44,2.75,1.0,3.0
25/01/2025,Wolves,Arsenal,6.85,4.65,1.46,1.72,2.14,0.0,1.0
25/01/2025,Man City,Chelsea,2.03,4.03,3.29,1.41,2.88,3.0,1.0
26/01/2025,Fulham,Man United,2.31,3.44,3.1,1.85,1.98,0.0,1.0
26/01/2025,Aston Villa,West Ham,1.55,4.39,5.81,1.67,2.21,1.0,1.0
26/01/2025,Crystal Palace,Brentford,2.06,3.68,3.47,1.74,2.12,1.0,2.0
26/01/2025,Tottenham,Leicester,1.46,5.21,5.89,1.33,3.27,1.0,2.0
01/02/2025,Nott'm Forest,Brighton,2.44,3.46,2.89,1.92,1.91,7.0,0.0
01/02/2025,Bournemouth,Liverpool,4.56,4.32,1.68,1.46,2.69,0.0,2.0
01/02/2025,Everton,Leicester,1.79,3.67,4.67,2.01,1.83,4.0,0.0
01/02/2025,Ipswich,Southampton,1.98,3.67,3.74,1.76,2.09,1.0,2.0
01/02/2025,Newcastle,Fulham,1.71,4.07,4.66,1.64,2.28,1.0,2.0
01/02/2025,Wolves,Aston Villa,3.36,3.58,2.14,1.7,2.17,2.0,0.0
02/02/2025,Brentford,Tottenham,2.11,3.97,3.1,1.33,3.25,0.0,2.0
02/02/2025,Man United,Crystal Palace,2.04,3.48,3.71,1.83,1.99,0.0,2.0
02/02/2025,Arsenal,Man City,1.97,3.58,3.83,1.75,2.1,5.0,1.0
03/02/2025,Chelsea,West Ham,1.36,5.54,7.58,1.38,2.99,2.0,1.0
12/02/2025,Everton,Liverpool,7.36,4.71,1.44,1.71,2.18,2.0,2.0
14/02/2025,Brighton,Chelsea,2.85,3.6,2.43,1.58,2.42,3.0,0.0
15/02/2025,Leicester,Arsenal,9.45,5.29,1.34,1.71,2.17,0.0,2.0
15/02/2025,Aston Villa,Ipswich,1.41,4.96,7.45,1.58,2.41,1.0,1.0
15/02/2025,Fulham,Nott'm Forest,2.22,3.35,3.39,2.1,1.76,2.0,1.0
15/02/2025,Man City,Newcastle,1.97,4.07,3.44,1.45,2.77,4.0,0.0
15/02/2025,Southampton,Bournemouth,5.83,4.64,1.52,1.49,2.62,1.0,3.0
15/02/2025,West Ham,Brentford,2.41,3.64,2.82,1.6,2.37,0.0,1.0
15/02/2025,Crystal Palace,Everton,1.81,3.45,4.94,2.23,1.67,1.0,2.0
16/02/2025,Liverpool,Wolves,1.19,7.85,12.84,1.37,3.12,2.0,1.0
16/02/2025,Tottenham,Man United,2.45,3.73,2.69,1.48,2.67,1.0,0.0
19/02/2025,Aston Villa,Liverpool,3.93,4.0,1.85,1.56,2.45,2.0,2.0
21/02/2025,Leicester,Brentford,3.7,3.86,1.96,1.58,2.42,0.0,4.0
22/02/2025,Everton,Man United,2.55,3.2,2.96,2.19,1.7,2.0,2.0
22/02/2025,Arsenal,West Ham,1.25,6.2,11.63,1.68,2.22,0.0,1.0
22/02/2025,Bournemouth,Wolves,1.56,4.45,5.5,1.59,2.39,0.0,1.0
22/02/2025,Fulham,Crystal Palace,2.05,3.48,3.74,1.98,1.87,0.0,2.0
22/02/2025,Ipswich,Tottenham,3.87,3.89,1.89,1.52,2.56,1.0,4.0
22/02/2025,Southampton,Brighton,5.52,4.38,1.57,1.58,2.42,0.0,4.0
22/02/2025,Aston Villa,Chelsea,2.62,3.7,2.56,1.56,2.45,2.0,1.0
23/02/2025,Newcastle,Nott'm Forest,1.81,3.96,4.11,1.66,2.25,4.0,3.0
23/02/2025,Man City,Liverpool,2.9,3.86,2.26,1.41,2.89,0.0,2.0
25/02/2025,Chelsea,Southampton,1.17,8.55,14.69,1.28,3.72,4.0,0.0
25/02/2025,Wolves,Fulham,2.71,3.34,2.69,2.01,1.84,1.0,2.0
25/02/2025,Brighton,Bournemouth,2.06,3.81,3.43,1.62,2.35,2.0,1.0
25/02/2025,Crystal Palace,Aston Villa,2.55,3.38,2.83,1.9,1.95,4.0,1.0
26/02/2025,Brentford,Everton,2.02,3.68,3.59,1.85,1.99,1.0,1.0
26/02/2025,Man United,Ipswich,1.52,4.55,5.83,1.64,2.29,3.0,2.0
26/02/2025,Nott'm Forest,Arsenal,3.94,3.48,1.98,2.17,1.71,0.0,0.0
26/02/2025,Tottenham,Man City,3.22,4.09,2.04,1.34,3.29,0.0,1.0
26/02/2025,Liverpool,Newcastle,1.52,4.77,5.64,1.44,2.79,2.0,0.0
27/02/2025,West Ham,Leicester,1.63,4.15,5.17,1.71,2.17,2.0,0.0
08/03/2025,Liverpool,Southampton,1.12,9.97,19.5,1.27,3.77,3.0,1.0
08/03/2025,Wolves,Everton,2.63,3.14,2.87,2.27,1.64,1.0,1.0
08/03/2025,Brentford,Aston Villa,2.26,3.8,2.95,1.52,2.54,0.0,1.0
08/03/2025,Brighton,Fulham,1.99,3.62,3.77,1.75,2.11,2.0,1.0
08/03/2025,Nott'm Forest,Man City,3.88,3.89,1.89,1.57,2.42,1.0,0.0
08/03/2025,Crystal Palace,Ipswich,1.48,4.55,6.74,1.75,2.07,1.0,0.0
09/03/2025,Chelsea,Leicester,1.2,7.67,12.34,1.35,3.22,1.0,0.0
09/03/2025,Tottenham,Bournemouth,2.71,3.88,2.4,1.39,3.02,2.0,2.0
09/03/2025,Man United,Arsenal,5.41,3.58,1.72,2.18,1.7,1.0,1.0
10/03/2025,West Ham,Newcastle,3.21,3.57,2.19,1.69,2.18,0.0,1.0
15/03/2025,Southampton,Wolves,3.63,3.51,2.06,1.81,2.03,1.0,2.0
15/03/2025,Man City,Brighton,1.66,4.45,4.63,1.47,2.68,2.0,2.0
15/03/2025,Bournemouth,Brentford,1.76,4.16,4.25,1.48,2.66,1.0,2.0
15/03/2025,Everton,West Ham,2.11,3.27,3.81,2.3,1.64,1.0,1.0
15/03/2025,Ipswich,Nott'm Forest,3.8,3.59,1.99,1.85,1.99,2.0,4.0
16/03/2025,Leicester,Man United,4.21,3.76,1.84,1.79,2.04,0.0,3.0
16/03/2025,Arsenal,Chelsea,1.81,3.74,4.44,1.88,1.94,1.0,0.0
16/03/2025,Fulham,Tottenham,2.01,3.84,3.48,1.57,2.42,2.0,0.0
01/04/2025,Arsenal,Fulham,1.48,4.2,7.73,2.12,1.74,2.0,1.0
01/04/2025,Wolves,West Ham,2.57,3.2,2.92,2.18,1.7,1.0,0.0
01/04/2025,Nott'm Forest,Man United,2.32,3.42,3.13,1.94,1.89,1.0,0.0
02/04/2025,Bournemouth,Ipswich,1.38,5.23,7.72,1.51,2.52,1.0,2.0
02/04/2025,Brighton,Aston Villa,2.09,3.81,3.27,1.58,2.37,0.0,3.0
02/04/2025,Man City,Leicester,1.2,7.61,12.4,1.38,2.99,2.0,0.0
02/04/2025,Newcastle,Brentford,1.73,4.31,4.21,1.46,2.68,2.0,1.0
02/04/2025,Southampton,Crystal Palace,5.5,4.01,1.62,1.78,2.03,1.0,1.0
02/04/2025,Liverpool,Everton,1.36,5.02,8.78,1.76,2.06,1.0,0.0
03/04/2025,Chelsea,Tottenham,1.64,4.5,4.57,1.39,2.92,1.0,0.0
